fighter_1,fighter_2,bookmaker,type,point,price,fetched_at,commence_time
Manel Kape,Kyoji Horiguchi,Pinnacle,Over,4.5,1.75,2026-06-16,2026-06-21
Manel Kape,Kyoji Horiguchi,Pinnacle,Under,4.5,2.1,2026-06-16,2026-06-21
Manel Kape,Kyoji Horiguchi,Coolbet,Over,4.5,1.77,2026-06-16,2026-06-21
Manel Kape,Kyoji Horiguchi,Coolbet,Under,4.5,2.1,2026-06-16,2026-06-21
Brandon Royval,Lone'er Kavanagh,1xBet,Over,2.5,1.5,2026-06-16,2026-07-11
Brandon Royval,Lone'er Kavanagh,1xBet,Under,2.5,2.48,2026-06-16,2026-07-11
Gable Steveson,Elisha Ellison,1xBet,Over,0.5,1.45,2026-06-16,2026-07-12
Gable Steveson,Elisha Ellison,1xBet,Under,0.5,2.65,2026-06-16,2026-07-12
Cory Sandhagen,Mario Bautista,1xBet,Over,2.5,1.4,2026-06-16,2026-07-12
Cory Sandhagen,Mario Bautista,1xBet,Under,2.5,2.8,2026-06-16,2026-07-12
Paddy Pimblett,Benoit Saint-Denis,1xBet,Over,2.5,2.16,2026-06-16,2026-07-12
Paddy Pimblett,Benoit Saint-Denis,1xBet,Under,2.5,1.65,2026-06-16,2026-07-12
Conor McGregor,Max Holloway,1xBet,Over,2.5,2.05,2026-06-16,2026-07-12
Conor McGregor,Max Holloway,1xBet,Under,2.5,1.77,2026-06-16,2026-07-12
Conor McGregor,Max Holloway,PMU (FR),Over,3.5,2.33,2026-06-16,2026-07-12
Conor McGregor,Max Holloway,PMU (FR),Under,3.5,1.56,2026-06-16,2026-07-12
Abdulrakhman Yakhyaev,Julius Walker,BetOnline.ag,Over,1.5,2.8,2026-06-23,2026-06-27
Abdulrakhman Yakhyaev,Julius Walker,BetOnline.ag,Under,1.5,1.48,2026-06-23,2026-06-27
Abdulrakhman Yakhyaev,Julius Walker,1xBet,Over,1.5,2.36,2026-06-23,2026-06-27
Abdulrakhman Yakhyaev,Julius Walker,1xBet,Under,1.5,1.55,2026-06-23,2026-06-27
Abdulrakhman Yakhyaev,Julius Walker,Coolbet,Over,1.5,2.8,2026-06-23,2026-06-27
Abdulrakhman Yakhyaev,Julius Walker,Coolbet,Under,1.5,1.46,2026-06-23,2026-06-27
Abusupyian Magomedov,Michal Oleksiejczuk,BetOnline.ag,Over,1.5,1.71,2026-06-23,2026-06-27
